DATE,INDPRO,CPIAUCSL,SP_GSCI,BOGNONBR,TOTRESNS,FEDFUNDS
1/1/1919,4.8654,,,,,
2/1/1919,4.6504,,,,,
3/1/1919,4.516,,,,,
4/1/1919,4.5966,,,,,
5/1/1919,4.6235,,,,,
6/1/1919,4.9192,,,,,
7/1/1919,5.2149,,,,,
8/1/1919,5.2955,,,,,
9/1/1919,5.188,,,,,
10/1/1919,5.1342,,,,,
11/1/1919,5.0536,,,,,
12/1/1919,5.1342,,,,,
1/1/1920,5.6181,,,,,
2/1/1920,5.6181,,,,,
3/1/1920,5.5106,,,,,
4/1/1920,5.2149,,,,,
5/1/1920,5.3493,,,,,
6/1/1920,5.403,,,,,
7/1/1920,5.2686,,,,,
8/1/1920,5.2955,,,,,
9/1/1920,5.1073,,,,,
10/1/1920,4.8923,,,,,
11/1/1920,4.4891,,,,,
12/1/1920,4.2203,,,,,
1/1/1921,3.9784,,,,,
2/1/1921,3.8977,,,,,
3/1/1921,3.7902,,,,,
4/1/1921,3.7902,,,,,
5/1/1921,3.8977,,,,,
6/1/1921,3.8708,,,,,
7/1/1921,3.8439,,,,,
8/1/1921,3.9784,,,,,
9/1/1921,4.0052,,,,,
10/1/1921,4.2472,,,,,
11/1/1921,4.1934,,,,,
12/1/1921,4.1665,,,,,
1/1/1922,4.3278,,,,,
2/1/1922,4.516,,,,,
3/1/1922,4.7579,,,,,
4/1/1922,4.5966,,,,,
5/1/1922,4.8385,,,,,
6/1/1922,5.0805,,,,,
7/1/1922,5.0805,,,,,
8/1/1922,4.9729,,,,,
9/1/1922,5.2417,,,,,
10/1/1922,5.5374,,,,,
11/1/1922,5.7794,,,,,
12/1/1922,5.9406,,,,,
1/1/1923,5.8062,,,,,
2/1/1923,5.8869,,,,,
3/1/1923,6.0751,,,,,
4/1/1923,6.2095,,,,,
5/1/1923,6.2901,,,,,
6/1/1923,6.2363,,,,,
7/1/1923,6.1826,,,,,
8/1/1923,6.0751,,,,,
9/1/1923,5.9406,,,,,
10/1/1923,5.9138,,,,,
11/1/1923,5.9138,,,,,
12/1/1923,5.7794,,,,,
1/1/1924,5.9138,,,,,
2/1/1924,6.0213,,,,,
3/1/1924,5.9138,,,,,
4/1/1924,5.7256,,,,,
5/1/1924,5.4837,,,,,
6/1/1924,5.2417,,,,,
7/1/1924,5.1611,,,,,
8/1/1924,5.3493,,,,,
9/1/1924,5.5374,,,,,
10/1/1924,5.6718,,,,,
11/1/1924,5.7794,,,,,
12/1/1924,5.9406,,,,,
1/1/1925,6.1288,,,,,
2/1/1925,6.1288,,,,,
3/1/1925,6.1288,,,,,
4/1/1925,6.1826,,,,,
5/1/1925,6.1557,,,,,
6/1/1925,6.1019,,,,,
7/1/1925,6.2632,,,,,
8/1/1925,6.1557,,,,,
9/1/1925,6.0751,,,,,
10/1/1925,6.317,,,,,
11/1/1925,6.4514,,,,,
12/1/1925,6.532,,,,,
1/1/1926,6.4245,,,,,
2/1/1926,6.4245,,,,,
3/1/1926,6.5051,,,,,
4/1/1926,6.5051,,,,,
5/1/1926,6.4514,,,,,
6/1/1926,6.532,,,,,
7/1/1926,6.5589,,,,,
8/1/1926,6.6396,,,,,
9/1/1926,6.7471,,,,,
10/1/1926,6.7471,,,,,
11/1/1926,6.7202,,,,,
12/1/1926,6.6933,,,,,
1/1/1927,6.6664,,,,,
2/1/1927,6.7202,,,,,
3/1/1927,6.8008,,,,,
4/1/1927,6.6396,,,,,
5/1/1927,6.6933,,,,,
6/1/1927,6.6664,,,,,
7/1/1927,6.5858,,,,,
8/1/1927,6.5858,,,,,
9/1/1927,6.4783,,,,,
10/1/1927,6.3439,,,,,
11/1/1927,6.3439,,,,,
12/1/1927,6.3707,,,,,
1/1/1928,6.5051,,,,,
2/1/1928,6.5589,,,,,
3/1/1928,6.6127,,,,,
4/1/1928,6.5858,,,,,
5/1/1928,6.6664,,,,,
6/1/1928,6.7202,,,,,
7/1/1928,6.8008,,,,,
8/1/1928,6.9352,,,,,
9/1/1928,6.989,,,,,
10/1/1928,7.1234,,,,,
11/1/1928,7.2578,,,,,
12/1/1928,7.3922,,,,,
1/1/1929,7.4997,,,,,
2/1/1929,7.4728,,,,,
3/1/1929,7.4997,,,,,
4/1/1929,7.6341,,,,,
5/1/1929,7.7685,,,,,
6/1/1929,7.8223,,,,,
7/1/1929,7.9298,,,,,
8/1/1929,7.8492,,,,,
9/1/1929,7.7954,,,,,
10/1/1929,7.661,,,,,
11/1/1929,7.2847,,,,,
12/1/1929,6.9621,,,,,
1/1/1930,6.9621,,,,,
2/1/1930,6.9352,,,,,
3/1/1930,6.8277,,,,,
4/1/1930,6.774,,,,,
5/1/1930,6.6664,,,,,
6/1/1930,6.4783,,,,,
7/1/1930,6.1826,,,,,
8/1/1930,6.0482,,,,,
9/1/1930,5.9406,,,,,
10/1/1930,5.7794,,,,,
11/1/1930,5.645,,,,,
12/1/1930,5.5106,,,,,
1/1/1931,5.4837,,,,,
2/1/1931,5.5106,,,,,
3/1/1931,5.6181,,,,,
4/1/1931,5.645,,,,,
5/1/1931,5.5643,,,,,
6/1/1931,5.4299,,,,,
7/1/1931,5.3493,,,,,
8/1/1931,5.1611,,,,,
9/1/1931,4.9192,,,,,
10/1/1931,4.731,,,,,
11/1/1931,4.6772,,,,,
12/1/1931,4.6504,,,,,
1/1/1932,4.516,,,,,
2/1/1932,4.4084,,,,,
3/1/1932,4.3547,,,,,
4/1/1932,4.059,,,,,
5/1/1932,3.9246,,,,,
6/1/1932,3.7902,,,,,
7/1/1932,3.6827,,,,,
8/1/1932,3.7902,,,,,
9/1/1932,4.0321,,,,,
10/1/1932,4.1665,,,,,
11/1/1932,4.1665,,,,,
12/1/1932,4.0859,,,,,
1/1/1933,4.0052,,,,,
2/1/1933,4.0321,,,,,
3/1/1933,3.7902,,,,,
4/1/1933,4.059,,,,,
5/1/1933,4.731,,,,,
6/1/1933,5.4568,,,,,
7/1/1933,5.9675,,,,,
8/1/1933,5.7256,,,,,
9/1/1933,5.403,,,,,
10/1/1933,5.1342,,,,,
11/1/1933,4.8385,,,,,
12/1/1933,4.8654,,,,,
1/1/1934,5.0267,,,,,
2/1/1934,5.2686,,,,,
3/1/1934,5.5106,,,,,
4/1/1934,5.5106,,,,,
5/1/1934,5.6181,,,,,
6/1/1934,5.5106,,,,,
7/1/1934,5.1342,,,,,
8/1/1934,5.0805,,,,,
9/1/1934,4.7848,,,,,
10/1/1934,4.9998,,,,,
11/1/1934,5.0536,,,,,
12/1/1934,5.3761,,,,,
1/1/1935,5.8062,,,,,
2/1/1935,5.9138,,,,,
3/1/1935,5.8869,,,,,
4/1/1935,5.7794,,,,,
5/1/1935,5.7794,,,,,
6/1/1935,5.86,,,,,
7/1/1935,5.86,,,,,
8/1/1935,6.075,,,,,
9/1/1935,6.2363,,,,,
10/1/1935,6.4245,,,,,
11/1/1935,6.5589,,,,,
12/1/1935,6.6395,,,,,
1/1/1936,6.532,,,,,
2/1/1936,6.3707,,,,,
3/1/1936,6.4514,,,,,
4/1/1936,6.8546,,,,,
5/1/1936,6.989,,,,,
6/1/1936,7.1234,,,,,
7/1/1936,7.2578,,,,,
8/1/1936,7.3653,,,,,
9/1/1936,7.4997,,,,,
10/1/1936,7.6073,,,,,
11/1/1936,7.8223,,,,,
12/1/1936,8.0642,,,,,
1/1/1937,8.0373,,,,,
2/1/1937,8.1449,,,,,
3/1/1937,8.333,,,,,
4/1/1937,8.333,,,,,
5/1/1937,8.3599,,,,,
6/1/1937,8.2524,,,,,
7/1/1937,8.3062,,,,,
8/1/1937,8.2524,,,,,
9/1/1937,7.9836,,,,,
10/1/1937,7.3922,,,,,
11/1/1937,6.6664,,,,,
12/1/1937,6.075,,,,,
1/1/1938,5.9406,,,,,
2/1/1938,5.8869,,,,,
3/1/1938,5.8869,,,,,
4/1/1938,5.7794,,,,,
5/1/1938,5.645,,,,,
6/1/1938,5.6987,,,,,
7/1/1938,6.0213,,,,,
8/1/1938,6.3439,,,,,
9/1/1938,6.532,,,,,
10/1/1938,6.6933,,,,,
11/1/1938,6.9621,,,,,
12/1/1938,7.0428,,,,,
1/1/1939,7.0428,,,,,
2/1/1939,7.0965,,,,,
3/1/1939,7.1234,,,,,
4/1/1939,7.0965,,,,,
5/1/1939,7.0696,,,,,
6/1/1939,7.2309,,,,,
7/1/1939,7.446,,,,,
8/1/1939,7.5535,,,,,
9/1/1939,8.0105,,,,,
10/1/1939,8.4137,,,,,
11/1/1939,8.6287,,,,,
12/1/1939,8.6287,,,,,
1/1/1940,8.5212,,,,,
2/1/1940,8.2524,,,,,
3/1/1940,8.0642,,,,,
4/1/1940,8.2255,,,,,
5/1/1940,8.4674,,,,,
6/1/1940,8.7362,,,,,
7/1/1940,8.8438,,,,,
8/1/1940,8.8975,,,,,
9/1/1940,9.0857,,,,,
10/1/1940,9.2201,,,,,
11/1/1940,9.4351,,,,,
12/1/1940,9.7577,,,,,
1/1/1941,9.9996,,,,,
2/1/1941,10.2953,,,,,
3/1/1941,10.6179,,,,,
4/1/1941,10.6448,,,,,
5/1/1941,11.1286,,,,,
6/1/1941,11.2093,,,,,
7/1/1941,11.3437,,,,,
8/1/1941,11.4781,,,,,
9/1/1941,11.4781,,,,,
10/1/1941,11.5856,,,,,
11/1/1941,11.6394,,,,,
12/1/1941,11.8275,,,,,
1/1/1942,12.0695,,,,,
2/1/1942,12.2845,,,,,
3/1/1942,12.4189,,,,,
4/1/1942,12.0695,,,,,
5/1/1942,12.0963,,,,,
6/1/1942,12.1232,,,,,
7/1/1942,12.4189,,,,,
8/1/1942,12.7952,,,,,
9/1/1942,13.0909,,,,,
10/1/1942,13.521,,,,,
11/1/1942,13.8436,,,,,
12/1/1942,14.1662,,,,,
1/1/1943,14.3006,,,,,
2/1/1943,14.6769,,,,,
3/1/1943,14.7844,,,,,
4/1/1943,14.9726,,,,,
5/1/1943,15.0801,,,,,
6/1/1943,14.9995,,,,,
7/1/1943,15.4564,,,,,
8/1/1943,15.779,,,,,
9/1/1943,16.1822,,,,,
10/1/1943,16.4241,,,,,
11/1/1943,16.6392,,,,,
12/1/1943,16.4241,,,,,
1/1/1944,16.6123,,,,,
2/1/1944,16.7467,,,,,
3/1/1944,16.7198,,,,,
4/1/1944,16.7198,,,,,
5/1/1944,16.6123,,,,,
6/1/1944,16.5585,,,,,
7/1/1944,16.5317,,,,,
8/1/1944,16.7467,,,,,
9/1/1944,16.6392,,,,,
10/1/1944,16.693,,,,,
11/1/1944,16.5585,,,,,
12/1/1944,16.5048,,,,,
1/1/1945,16.3435,,,,,
2/1/1945,16.2897,,,,,
3/1/1945,16.1822,,,,,
4/1/1945,15.8865,,,,,
5/1/1945,15.4564,,,,,
6/1/1945,15.107,,,,,
7/1/1945,14.7576,,,,,
8/1/1945,13.2253,,,,,
9/1/1945,12.0426,,,,,
10/1/1945,11.5587,,,,,
11/1/1945,11.9888,,,,,
12/1/1945,12.0426,,,,,
1/1/1946,11.3706,,,,,
2/1/1946,10.8061,,,,,
3/1/1946,11.9351,,,,,
4/1/1946,11.72,,,,,
5/1/1946,11.2899,,,,,
6/1/1946,11.9888,,,,,
7/1/1946,12.392,,,,,
8/1/1946,12.849,,,,,
9/1/1946,13.0909,,,,,
10/1/1946,13.3329,,,,,
11/1/1946,13.4135,,,,,
12/1/1946,13.4941,,,,,
1/1/1947,13.6554,21.48,,,,
2/1/1947,13.7361,21.62,,,,
3/1/1947,13.8167,22,,,,
4/1/1947,13.7092,22,,,,
5/1/1947,13.7629,21.95,,,,
6/1/1947,13.7629,22.08,,,,
7/1/1947,13.6823,22.23,,,,
8/1/1947,13.7629,22.4,,,,
9/1/1947,13.8705,22.84,,,,
10/1/1947,14.0049,22.91,,,,
11/1/1947,14.193,23.06,,,,
12/1/1947,14.2468,23.41,,,,
1/1/1948,14.3274,23.68,,,,
2/1/1948,14.3543,23.67,,,,
3/1/1948,14.1931,23.5,,,,
4/1/1948,14.2199,23.82,,,,
5/1/1948,14.4618,24.01,,,,
6/1/1948,14.65,24.15,,,,
7/1/1948,14.65,24.4,,,,
8/1/1948,14.5962,24.43,,,,
9/1/1948,14.4887,24.36,,,,
10/1/1948,14.5963,24.31,,,,
11/1/1948,14.4081,24.16,,,,
12/1/1948,14.2737,24.05,,,,
1/1/1949,14.1393,24.01,,,,
2/1/1949,14.0049,23.91,,,,
3/1/1949,13.7361,23.91,,,,
4/1/1949,13.6554,23.92,,,,
5/1/1949,13.4673,23.91,,,,
6/1/1949,13.4404,23.92,,,,
7/1/1949,13.4135,23.7,,,,
8/1/1949,13.5479,23.7,,,,
9/1/1949,13.6823,23.75,,,,
10/1/1949,13.1716,23.67,,,,
11/1/1949,13.521,23.7,,,,
12/1/1949,13.7629,23.61,,,,
1/1/1950,14.0049,23.51,,,,
